angle	  | quarter	  | number	  | comparison																																																																																																																																										
-17910	  | 4		  | -199	  | 2F 1T 5F 																																																																																																																																										
-17820	  | 3		  | -198	  | 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 1T 5F 2T 7F 1T 9F 1T 8F 1T 8F 																																																																																																																											
-17730	  | 2		  | -197	  | 1T 5F 1T 9F 1T 8F 1T 9F 1T 7F 2T 5F 1T 3F 1T 5F 1T 6F 1T 1F 1T 4F 1T 12F 3T 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 1T 5F 2T 7F 1T 9F 1T 8F 1T 8F 																																																																																																								
-17640	  | 1		  | -196	  | 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 1T 5F 2T 7F 1T 9F 1T 8F 1T 9F 1T 5F 																																																																																																																									
-17550	  | 4		  | -195	  | 1T 5F 1T 9F 1T 8F 1T 9F 1T 7F 2T 5F 1T 3F 1T 5F 1T 6F 1T 1F 1T 4F 1T 12F 3T 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 1T 5F 2T 7F 1T 9F 1T 8F 1T 9F 1T 5F 																																																																																																						
-17460	  | 3		  | -194	  | 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 1T 5F 2T 7F 1T 9F 1T 8F 1T 9F 1T 5F 																																																																																																																									
-17370	  | 2		  | -193	  | 1T 5F 1T 4F 																																																																																																																																									
-17280	  | 1		  | -192	  | 1T 33F 1T 8F 1T 4F 1T 9F 1T 1F 1T 2F 1T 4F 1T 2F 1T 3F 1T 3F 1T 																																																																																																																												
-17190	  | 4		  | -191	  | 1T 10F 1T 3F 1T 3F 1T 2F 1T 4F 1T 2F 1T 1F 1T 9F 1T 4F 1T 8F 1T 33F 1T 33F 1T 8F 1T 4F 1T 9F 1T 1F 1T 2F 1T 4F 1T 2F 1T 3F 1T 3F 1T 																																																																																																											
-17100	  | 3		  | -190	  | 1T 33F 1T 8F 1T 4F 1T 9F 1T 1F 1T 2F 1T 4F 1T 2F 1T 3F 1T 3F 1T 10F 																																																																																																																											
-17010	  | 2		  | -189	  | 1T 10F 1T 3F 1T 3F 1T 2F 1T 4F 1T 2F 1T 1F 1T 9F 1T 4F 1T 8F 1T 33F 1T 33F 1T 8F 1T 4F 1T 9F 1T 1F 1T 2F 1T 4F 1T 2F 																																																																																																															
-16920	  | 1		  | -188	  | 1T 33F 1T 8F 1T 4F 1T 9F 1T 1F 1T 2F 1T 4F 1T 2F 																																																																																																																																
-16830	  | 4		  | -187	  | 20F 																																																																																																																																											
-16740	  | 3		  | -186	  | 2F 1T 2F 1T 4F 2T 6F 1T 13F 1T 4F 1T 4F 1T 8F 1T 2F 1T 9F 1T 5F 1T 19F 																																																																																																																											
-16650	  | 2		  | -185	  | 20F 1T 5F 1T 9F 1T 2F 1T 8F 1T 4F 1T 4F 1T 13F 1T 6F 2T 4F 1T 2F 1T 3F 1T 2F 1T 4F 2T 6F 1T 13F 1T 4F 1T 4F 1T 8F 1T 2F 1T 9F 1T 5F 1T 19F 																																																																																																										
-16560	  | 1		  | -184	  | 2F 1T 2F 1T 4F 2T 6F 1T 13F 1T 4F 1T 4F 1T 8F 1T 2F 1T 9F 1T 5F 1T 19F 																																																																																																																											
-16470	  | 4		  | -183	  | 20F 1T 5F 1T 9F 1T 2F 1T 8F 1T 4F 1T 4F 1T 13F 1T 6F 2T 4F 1T 2F 1T 3F 1T 2F 1T 4F 2T 4F 																																																																																																																						
-16380	  | 3		  | -182	  | 2F 1T 2F 1T 4F 2T 4F 																																																																																																																																							
-16290	  | 2		  | -181	  | 1F 1T 5F 3T 2F 1T 8F 1T 9F 1T 6F 1T 1F 1T 10F 1T 3F 1T 9F 1T 2F 1T 10F 																																																																																																																											
-16200	  | 1		  | -180	  | 6F 2T 1F 1T 12F 1T 2F 1T 9F 1T 3F 1T 10F 1T 1F 1T 6F 1T 9F 1T 8F 1T 2F 3T 5F 1T 																																																																																																																								
-16110	  | 4		  | -179	  | 2T 5F 3T 2F 1T 8F 1T 9F 1T 6F 1T 1F 1T 10F 1T 3F 1T 9F 1T 2F 1T 12F 1T 1F 2T 11F 2T 1F 1T 12F 1T 2F 1T 9F 1T 3F 1T 10F 1T 1F 1T 6F 1T 9F 1T 8F 1T 2F 3T 5F 1T 																																																																																																					
-16020	  | 3		  | -178	  | 6F 2T 1F 1T 12F 1T 2F 1T 9F 1T 3F 1T 10F 1T 1F 1T 6F 1T 9F 1T 8F 1T 2F 3T 5F 3T 5F 3T 2F 1T 6F 																																																																																																																					
-15930	  | 2		  | -177	  | 2T 5F 3T 2F 1T 6F 																																																																																																																																								
-15840	  | 1		  | -176	  | 1F 1T 1F 1T 1F 1T 10F 1T 6F 1T 4F 3T 1F 2T 6F 1T 1F 1T 2F 1T 1F 1T 6F 1T 6F 1T 3F 1T 8F 																																																																																																																						
-15750	  | 4		  | -175	  | 4F 1T 5F 1T 5F 1T 8F 1T 3F 1T 6F 1T 6F 1T 1F 1T 2F 1T 1F 1T 6F 2T 1F 3T 4F 1T 6F 1T 10F 1T 1F 1T 1F 1T 1F 1T 1F 1T 1F 1T 10F 1T 6F 1T 4F 3T 1F 2T 6F 1T 1F 1T 2F 1T 1F 1T 6F 1T 6F 1T 3F 1T 8F 																																																																																													
-15660	  | 3		  | -174	  | 1F 1T 1F 1T 1F 1T 10F 1T 6F 1T 4F 3T 1F 2T 6F 1T 1F 1T 2F 1T 1F 1T 6F 1T 6F 1T 3F 1T 8F 1T 5F 1T 5F 1T 3F 																																																																																																																		
-15570	  | 2		  | -173	  | 1T 3F 1T 5F 1T 5F 1T 8F 1T 3F 1T 6F 1T 6F 1T 1F 1T 2F 1T 1F 1T 6F 2T 1F 3T 4F 1T 6F 1T 10F 1T 1F 																																																																																																																				
-15480	  | 1		  | -172	  | 1T 3F 																																																																																																																																											
-15390	  | 4		  | -171	  | 1F 1T 7F 1T 1F 1T 10F 1T 10F 2T 7F 1T 3F 2T 1F 1T 6F 1T 24F 1T 2F 1T 5F 1T 3F 																																																																																																																									
-15300	  | 3		  | -170	  | 1T 5F 1T 2F 1T 24F 1T 6F 1T 1F 2T 3F 1T 7F 2T 10F 1T 10F 1T 1F 1T 7F 3T 7F 1T 1F 1T 10F 1T 10F 2T 7F 1T 3F 2T 1F 1T 6F 1T 24F 1T 2F 1T 5F 1T 3F 																																																																																																								
-15210	  | 2		  | -169	  | 2T 7F 1T 1F 1T 10F 1T 10F 2T 7F 1T 3F 2T 1F 1T 6F 1T 24F 1T 2F 1T 5F 1T 5F 1T 2F 1T 24F 1T 6F 1T 1F 2T 																																																																																																																			
-15120	  | 1		  | -168	  | 1T 5F 1T 2F 1T 24F 1T 6F 1T 1F 2T 																																																																																																																																				
-15030	  | 4		  | -167	  | 10F 1T 13F 2T 2F 1T 12F 1T 4F 																																																																																																																																					
-14940	  | 3		  | -166	  | 3F 1T 6F 2T 5F 2T 2F 1T 1F 2T 5F 1T 5F 2T 11F 1T 12F 1T 2F 2T 13F 1T 9F 																																																																																																																										
-14850	  | 2		  | -165	  | 10F 1T 13F 2T 2F 1T 12F 1T 11F 2T 5F 1T 5F 2T 1F 1T 2F 2T 5F 2T 6F 1T 5F 1T 6F 2T 5F 2T 2F 1T 1F 2T 5F 1T 5F 2T 11F 1T 12F 1T 2F 2T 7F 																																																																																																											
-14760	  | 1		  | -164	  | 3F 1T 6F 2T 5F 2T 2F 1T 1F 2T 5F 1T 5F 2T 11F 1T 12F 1T 2F 2T 7F 																																																																																																																												
-14670	  | 4		  | -163	  | 1T 6F 1T 7F 1T 5F 																																																																																																																																								
-14580	  | 3		  | -162	  | 1T 7F 1T 4F 1T 1F 1T 6F 1T 2F 1T 9F 1T 3F 1T 4F 1T 3F 1T 1F 1T 6F 1T 9F 1T 7F 1T 7F 1T 6F 																																																																																																																						
-14490	  | 2		  | -161	  | 1T 6F 1T 7F 1T 7F 1T 9F 1T 6F 1T 1F 1T 3F 1T 4F 1T 3F 1T 9F 1T 2F 1T 6F 1T 1F 1T 4F 1T 7F 1T 7F 1T 4F 1T 1F 1T 6F 1T 2F 1T 9F 1T 3F 1T 4F 1T 3F 1T 1F 1T 6F 1T 9F 1T 7F 1T 2F 1T 																																																																																																
-14400	  | 1		  | -160	  | 1T 7F 1T 4F 1T 1F 1T 6F 1T 2F 1T 9F 1T 3F 1T 4F 1T 3F 1T 1F 1T 6F 1T 9F 1T 7F 1T 2F 1T 																																																																																																																							
-14310	  | 4		  | -159	  | 2F 1T 5F 1T 3F 1T 																																																																																																																																								
-14220	  | 3		  | -158	  | 6F 2T 11F 2T 5F 1T 14F 1T 6F 1T 3F 1T 3F 1T 2F 1T 9F 1T 2F 2T 1F 1T 2F 1T 3F 1T 5F 1T 1F 																																																																																																																						
-14130	  | 2		  | -157	  | 2F 1T 5F 1T 3F 1T 2F 1T 1F 2T 2F 1T 9F 1T 2F 1T 3F 1T 3F 1T 6F 1T 14F 1T 5F 2T 11F 2T 11F 2T 11F 2T 5F 1T 14F 1T 6F 1T 3F 1T 3F 1T 2F 1T 8F 																																																																																																									
-14040	  | 1		  | -156	  | 6F 2T 11F 2T 5F 1T 14F 1T 6F 1T 3F 1T 3F 1T 2F 1T 8F 																																																																																																																															
-13950	  | 4		  | -155	  | 6F 1T 9F 1T 8F 																																																																																																																																									
-13860	  | 3		  | -154	  | 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 1T 5F 2T 7F 1T 9F 1T 8F 1T 9F 1T 5F 																																																																																																																									
-13770	  | 2		  | -153	  | 1T 5F 1T 9F 1T 8F 1T 9F 1T 7F 2T 5F 1T 3F 1T 5F 1T 6F 1T 1F 1T 4F 1T 12F 3T 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 																																																																																																															
-13680	  | 1		  | -152	  | 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 																																																																																																																																		
-13590	  | 4		  | -151	  | 1T 10F 1T 3F 1T 3F 1T 2F 1T 4F 1T 2F 1T 1F 1T 9F 1T 4F 1T 3F 																																																																																																																													
-13500	  | 3		  | -150	  | 1T 33F 1T 8F 1T 4F 1T 9F 1T 1F 1T 2F 1T 4F 1T 2F 1T 3F 1T 3F 1T 21F 1T 3F 1T 3F 1T 2F 1T 4F 1T 2F 1T 1F 1T 9F 1T 4F 1T 3F 																																																																																																														
-13410	  | 2		  | -149	  | 11F 1T 3F 1T 3F 1T 2F 1T 4F 1T 2F 1T 1F 1T 9F 1T 4F 1T 8F 1T 30F 																																																																																																																												
-13320	  | 1		  | -148	  | 2F 1T 1F 																																																																																																																																										
-13230	  | 4		  | -147	  | 1T 19F 1T 5F 1T 9F 1T 2F 1T 8F 1T 4F 1T 4F 1T 13F 1T 6F 2T 4F 1T 2F 1T 3F 1T 1F 																																																																																																																								
-13140	  | 3		  | -146	  | 2F 1T 2F 1T 4F 2T 6F 1T 13F 1T 4F 1T 4F 1T 8F 1T 2F 1T 9F 1T 5F 1T 19F 																																																																																																																											
-13050	  | 2		  | -145	  | 20F 1T 5F 1T 3F 																																																																																																																																								
-12960	  | 1		  | -144	  | 6F 2T 1F 1T 12F 1T 2F 1T 9F 1T 3F 1T 10F 1T 1F 1T 6F 1T 1F 																																																																																																																														
-12870	  | 4		  | -143	  | 2T 5F 3T 2F 1T 8F 1T 9F 1T 6F 1T 1F 1T 10F 1T 3F 1T 9F 1T 2F 1T 12F 1T 1F 2T 11F 2T 1F 1T 12F 1T 2F 1T 9F 1T 3F 1T 10F 																																																																																																															
-12780	  | 3		  | -142	  | 6F 2T 1F 1T 12F 1T 2F 1T 9F 1T 3F 1T 10F 																																																																																																																																		
-12690	  | 2		  | -141	  | 4F 1T 5F 1T 5F 1T 8F 1T 3F 1T 6F 1T 4F 																																																																																																																																			
-12600	  | 1		  | -140	  | 1F 1T 1F 1T 1F 1T 10F 1T 6F 1T 4F 3T 1F 2T 6F 1T 1F 1T 2F 1T 1F 1T 6F 1T 6F 1T 3F 1T 8F 1T 5F 1T 5F 1T 3F 																																																																																																																		
-12510	  | 4		  | -139	  | 4F 1T 5F 1T 5F 1T 8F 1T 3F 1T 6F 1T 6F 1T 1F 1T 2F 1T 1F 1T 5F 																																																																																																																													
-12420	  | 3		  | -138	  | 1T 5F 1T 2F 1T 24F 1T 																																																																																																																																							
-12330	  | 2		  | -137	  | 1F 1T 7F 1T 1F 1T 10F 1T 10F 2T 7F 1T 3F 2T 1F 1T 6F 1T 24F 1T 2F 1T 5F 1T 5F 1T 2F 1T 24F 1T 																																																																																																																					
-12240	  | 1		  | -136	  | 1T 5F 1T 2F 1T 24F 1T 6F 1T 1F 2T 3F 1T 2F 																																																																																																																																		
-12150	  | 4		  | -135	  | 10F 1T 13F 2T 2F 1T 11F 																																																																																																																																						
-12060	  | 3		  | -134	  | 3F 1T 6F 2T 5F 2T 2F 1T 1F 2T 5F 1T 5F 2T 11F 1T 12F 1T 2F 2T 13F 1T 9F 																																																																																																																										
-11970	  | 2		  | -133	  | 10F 1T 13F 2T 2F 1T 7F 																																																																																																																																							
-11880	  | 1		  | -132	  | 1T 7F 1T 4F 1T 1F 1T 6F 1T 2F 1T 9F 1T 3F 1T 4F 1T 3F 1T 1F 1T 5F 																																																																																																																												
-11790	  | 4		  | -131	  | 7F 1T 7F 1T 7F 1T 9F 1T 6F 1T 1F 1T 3F 1T 4F 1T 3F 1T 9F 1T 2F 1T 6F 1T 1F 1T 4F 1T 7F 1T 7F 1T 																																																																																																																				
-11700	  | 3		  | -130	  | 1T 7F 1T 																																																																																																																																										
-11610	  | 2		  | -129	  | 4F 1T 9F 1T 13F 2T 18F 1T 8F 1T 3F 2T 9F 1T 3F 1T 1F 1T 3F 																																																																																																																														
-11520	  | 1		  | -128	  | 2F 1T 1F 1T 7F 1T 1F 1T 3F 1T 9F 2T 3F 1T 8F 1T 18F 1T 																																																																																																																															
-11430	  | 4		  | -127	  | 6F 1T 9F 1T 8F 1T 3F 																																																																																																																																							
-11340	  | 3		  | -126	  | 1F 3T 12F 1T 4F 1T 1F 1T 6F 1T 5F 1T 3F 1T 5F 2T 7F 1T 9F 1T 8F 1T 9F 1T 5F 																																																																																																																									
-11250	  | 2		  | -125	  | 1T 5F 1T 9F 1T 																																																																																																																																									
-11160	  | 1		  | -124	  | 1T 33F 1T 8F 1T 4F 1T 9F 1T 1F 1T 2F 1T 4F 1T 2F 1T 2F 																																																																																																																															
-11070	  | 4		  | -123	  | 1T 10F 1T 3F 1T 3F 1T 2F 1T 4F 1T 2F 1T 1F 1T 9F 1T 4F 1T 5F 																																																																																																																													
-10980	  | 3		  | -122	  | 2F 1T 2F 1T 4F 2T 6F 1T 13F 1T 4F 1T 1F 																																																																																																																																		
-10890	  | 2		  | -121	  | 1T 19F 1T 5F 1T 9F 1T 2F 1T 8F 1T 4F 1T 4F 1T 13F 1T 6F 2T 																																																																																																																														
-10800	  | 1		  | -120	  | 6F 2T 1F 1T 																																																																																																																																									
-10710	  | 4		  | -119	  | 1F 1T 5F 3T 2F 1T 8F 1T 9F 1T 6F 1T 1F 1T 10F 1T 3F 1T 9F 1T 2F 1T 12F 1T 1F 2T 11F 2T 1F 1T 																																																																																																																					
-10620	  | 3		  | -118	  | 6F 2T 1F 1T 1F 																																																																																																																																									
-10530	  | 2		  | -117	  | 4F 1T 5F 1T 5F 1T 8F 1T 3F 1T 6F 1T 6F 1T 1F 1T 2F 1T 1F 1T 6F 2T 1F 3T 4F 1T 6F 1T 5F 																																																																																																																							
-10440	  | 1		  | -116	  | 1F 1T 1F 1T 1F 1T 10F 1T 6F 1T 																																																																																																																																					
-10350	  | 4		  | -115	  | 2T 7F 1T 1F 1T 10F 1T 10F 2T 7F 1T 3F 2T 1F 1T 6F 1T 10F 																																																																																																																														
-10260	  | 3		  | -114	  | 1T 5F 1T 2F 1T 20F 																																																																																																																																								
